driver,strategy,lap,stint,compound,tyre_age,pit_stop,lap_time_seconds,cumulative_race_time
HAM,One-stop M-H,1,1,Medium,1,0,90.942,90.942
HAM,One-stop M-H,2,1,Medium,2,0,90.954,181.896
HAM,One-stop M-H,3,1,Medium,3,0,90.966,272.862
HAM,One-stop M-H,4,1,Medium,4,0,90.978,363.84
HAM,One-stop M-H,5,1,Medium,5,0,90.99,454.83
HAM,One-stop M-H,6,1,Medium,6,0,91.002,545.832
HAM,One-stop M-H,7,1,Medium,7,0,91.014,636.846
HAM,One-stop M-H,8,1,Medium,8,0,91.026,727.872
HAM,One-stop M-H,9,1,Medium,9,0,91.038,818.91
HAM,One-stop M-H,10,1,Medium,10,0,91.05,909.96
HAM,One-stop M-H,11,1,Medium,11,0,91.062,1001.022
HAM,One-stop M-H,12,1,Medium,12,0,91.074,1092.096
HAM,One-stop M-H,13,1,Medium,13,0,91.086,1183.182
HAM,One-stop M-H,14,1,Medium,14,0,91.098,1274.28
HAM,One-stop M-H,15,1,Medium,15,0,91.11,1365.39
HAM,One-stop M-H,16,1,Medium,16,0,91.122,1456.512
HAM,One-stop M-H,17,1,Medium,17,0,91.134,1547.646
HAM,One-stop M-H,18,1,Medium,18,0,91.146,1638.792
HAM,One-stop M-H,19,1,Medium,19,0,91.158,1729.95
HAM,One-stop M-H,20,1,Medium,20,0,91.17,1821.12
HAM,One-stop M-H,21,1,Medium,21,0,91.182,1912.302
HAM,One-stop M-H,22,1,Medium,22,0,91.194,2003.496
HAM,One-stop M-H,23,1,Medium,23,0,91.206,2094.702
HAM,One-stop M-H,24,1,Medium,24,0,91.218,2185.92
HAM,One-stop M-H,25,2,Hard,1,1,112.34,2298.26
HAM,One-stop M-H,26,2,Hard,2,0,90.332,2388.592
HAM,One-stop M-H,27,2,Hard,3,0,90.324,2478.916
HAM,One-stop M-H,28,2,Hard,4,0,90.316,2569.232
HAM,One-stop M-H,29,2,Hard,5,0,90.308,2659.54
HAM,One-stop M-H,30,2,Hard,6,0,90.3,2749.84
HAM,One-stop M-H,31,2,Hard,7,0,90.292,2840.132
HAM,One-stop M-H,32,2,Hard,8,0,90.284,2930.416
HAM,One-stop M-H,33,2,Hard,9,0,90.276,3020.692
HAM,One-stop M-H,34,2,Hard,10,0,90.268,3110.96
HAM,One-stop M-H,35,2,Hard,11,0,90.26,3201.22
HAM,One-stop M-H,36,2,Hard,12,0,90.252,3291.472
HAM,One-stop M-H,37,2,Hard,13,0,90.244,3381.716
HAM,One-stop M-H,38,2,Hard,14,0,90.236,3471.952
HAM,One-stop M-H,39,2,Hard,15,0,90.228,3562.18
HAM,One-stop M-H,40,2,Hard,16,0,90.22,3652.4
HAM,One-stop M-H,41,2,Hard,17,0,90.212,3742.612
HAM,One-stop M-H,42,2,Hard,18,0,90.204,3832.816
HAM,One-stop M-H,43,2,Hard,19,0,90.196,3923.012
HAM,One-stop M-H,44,2,Hard,20,0,90.188,4013.2
HAM,One-stop M-H,45,2,Hard,21,0,90.18,4103.38
HAM,One-stop M-H,46,2,Hard,22,0,90.172,4193.552
HAM,One-stop M-H,47,2,Hard,23,0,90.164,4283.716
HAM,One-stop M-H,48,2,Hard,24,0,90.156,4373.872
HAM,One-stop M-H,49,2,Hard,25,0,90.148,4464.02
HAM,One-stop M-H,50,2,Hard,26,0,90.14,4554.16
HAM,One-stop M-H,51,2,Hard,27,0,90.132,4644.292
HAM,One-stop M-H,52,2,Hard,28,0,90.124,4734.416
HAM,One-stop M-H,53,2,Hard,29,0,90.116,4824.532
HAM,One-stop M-H,54,2,Hard,30,0,90.108,4914.64
HAM,One-stop M-H,55,2,Hard,31,0,90.1,5004.74
HAM,One-stop M-H,56,2,Hard,32,0,90.092,5094.832
HAM,One-stop M-H,57,2,Hard,33,0,90.084,5184.916
HAM,One-stop M-H,58,2,Hard,34,0,90.076,5274.992
HAM,Two-stop M-H-M,1,1,Medium,1,0,90.942,90.942
HAM,Two-stop M-H-M,2,1,Medium,2,0,90.954,181.896
HAM,Two-stop M-H-M,3,1,Medium,3,0,90.966,272.862
HAM,Two-stop M-H-M,4,1,Medium,4,0,90.978,363.84
HAM,Two-stop M-H-M,5,1,Medium,5,0,90.99,454.83
HAM,Two-stop M-H-M,6,1,Medium,6,0,91.002,545.832
HAM,Two-stop M-H-M,7,1,Medium,7,0,91.014,636.846
HAM,Two-stop M-H-M,8,1,Medium,8,0,91.026,727.872
HAM,Two-stop M-H-M,9,1,Medium,9,0,91.038,818.91
HAM,Two-stop M-H-M,10,1,Medium,10,0,91.05,909.96
HAM,Two-stop M-H-M,11,1,Medium,11,0,91.062,1001.022
HAM,Two-stop M-H-M,12,1,Medium,12,0,91.074,1092.096
HAM,Two-stop M-H-M,13,1,Medium,13,0,91.086,1183.182
HAM,Two-stop M-H-M,14,1,Medium,14,0,91.098,1274.28
HAM,Two-stop M-H-M,15,1,Medium,15,0,91.11,1365.39
HAM,Two-stop M-H-M,16,1,Medium,16,0,91.122,1456.512
HAM,Two-stop M-H-M,17,1,Medium,17,0,91.134,1547.646
HAM,Two-stop M-H-M,18,1,Medium,18,0,91.146,1638.792
HAM,Two-stop M-H-M,19,2,Hard,1,1,112.598,1751.39
HAM,Two-stop M-H-M,20,2,Hard,2,0,90.59,1841.98
HAM,Two-stop M-H-M,21,2,Hard,3,0,90.582,1932.562
HAM,Two-stop M-H-M,22,2,Hard,4,0,90.574,2023.136
HAM,Two-stop M-H-M,23,2,Hard,5,0,90.566,2113.702
HAM,Two-stop M-H-M,24,2,Hard,6,0,90.558,2204.26
HAM,Two-stop M-H-M,25,2,Hard,7,0,90.55,2294.81
HAM,Two-stop M-H-M,26,2,Hard,8,0,90.542,2385.352
HAM,Two-stop M-H-M,27,2,Hard,9,0,90.534,2475.886
HAM,Two-stop M-H-M,28,2,Hard,10,0,90.526,2566.412
HAM,Two-stop M-H-M,29,2,Hard,11,0,90.518,2656.93
HAM,Two-stop M-H-M,30,2,Hard,12,0,90.51,2747.44
HAM,Two-stop M-H-M,31,2,Hard,13,0,90.502,2837.942
HAM,Two-stop M-H-M,32,2,Hard,14,0,90.494,2928.436
HAM,Two-stop M-H-M,33,2,Hard,15,0,90.486,3018.922
HAM,Two-stop M-H-M,34,2,Hard,16,0,90.478,3109.4
HAM,Two-stop M-H-M,35,2,Hard,17,0,90.47,3199.87
HAM,Two-stop M-H-M,36,2,Hard,18,0,90.462,3290.332
HAM,Two-stop M-H-M,37,2,Hard,19,0,90.454,3380.786
HAM,Two-stop M-H-M,38,2,Hard,20,0,90.446,3471.232
HAM,Two-stop M-H-M,39,3,Medium,1,1,111.308,3582.54
HAM,Two-stop M-H-M,40,3,Medium,2,0,89.32,3671.86
HAM,Two-stop M-H-M,41,3,Medium,3,0,89.332,3761.192
HAM,Two-stop M-H-M,42,3,Medium,4,0,89.344,3850.536
HAM,Two-stop M-H-M,43,3,Medium,5,0,89.356,3939.892
HAM,Two-stop M-H-M,44,3,Medium,6,0,89.368,4029.26
HAM,Two-stop M-H-M,45,3,Medium,7,0,89.38,4118.64
HAM,Two-stop M-H-M,46,3,Medium,8,0,89.392,4208.032
HAM,Two-stop M-H-M,47,3,Medium,9,0,89.404,4297.436
HAM,Two-stop M-H-M,48,3,Medium,10,0,89.416,4386.852
HAM,Two-stop M-H-M,49,3,Medium,11,0,89.428,4476.28
HAM,Two-stop M-H-M,50,3,Medium,12,0,89.44,4565.72
HAM,Two-stop M-H-M,51,3,Medium,13,0,89.452,4655.172
HAM,Two-stop M-H-M,52,3,Medium,14,0,89.464,4744.636
HAM,Two-stop M-H-M,53,3,Medium,15,0,89.476,4834.112
HAM,Two-stop M-H-M,54,3,Medium,16,0,89.488,4923.6
HAM,Two-stop M-H-M,55,3,Medium,17,0,89.5,5013.1
HAM,Two-stop M-H-M,56,3,Medium,18,0,89.512,5102.612
HAM,Two-stop M-H-M,57,3,Medium,19,0,89.524,5192.136
HAM,Two-stop M-H-M,58,3,Medium,20,0,89.536,5281.672
HAM,Two-stop S-M-H,1,1,Soft,1,0,90.382,90.382
HAM,Two-stop S-M-H,2,1,Soft,2,0,90.434,180.816
HAM,Two-stop S-M-H,3,1,Soft,3,0,90.486,271.302
HAM,Two-stop S-M-H,4,1,Soft,4,0,90.538,361.84
HAM,Two-stop S-M-H,5,1,Soft,5,0,90.59,452.43
HAM,Two-stop S-M-H,6,1,Soft,6,0,90.642,543.072
HAM,Two-stop S-M-H,7,1,Soft,7,0,90.694,633.766
HAM,Two-stop S-M-H,8,1,Soft,8,0,90.746,724.512
HAM,Two-stop S-M-H,9,1,Soft,9,0,90.798,815.31
HAM,Two-stop S-M-H,10,1,Soft,10,0,90.85,906.16
HAM,Two-stop S-M-H,11,1,Soft,11,0,90.902,997.062
HAM,Two-stop S-M-H,12,1,Soft,12,0,90.954,1088.016
HAM,Two-stop S-M-H,13,1,Soft,13,0,91.006,1179.022
HAM,Two-stop S-M-H,14,1,Soft,14,0,91.058,1270.08
HAM,Two-stop S-M-H,15,1,Soft,15,0,91.11,1361.19
HAM,Two-stop S-M-H,16,2,Medium,1,1,112.297,1473.487
HAM,Two-stop S-M-H,17,2,Medium,2,0,90.309,1563.796
HAM,Two-stop S-M-H,18,2,Medium,3,0,90.321,1654.117
HAM,Two-stop S-M-H,19,2,Medium,4,0,90.333,1744.45
HAM,Two-stop S-M-H,20,2,Medium,5,0,90.345,1834.795
HAM,Two-stop S-M-H,21,2,Medium,6,0,90.357,1925.152
HAM,Two-stop S-M-H,22,2,Medium,7,0,90.369,2015.521
HAM,Two-stop S-M-H,23,2,Medium,8,0,90.381,2105.902
HAM,Two-stop S-M-H,24,2,Medium,9,0,90.393,2196.295
HAM,Two-stop S-M-H,25,2,Medium,10,0,90.405,2286.7
HAM,Two-stop S-M-H,26,2,Medium,11,0,90.417,2377.117
HAM,Two-stop S-M-H,27,2,Medium,12,0,90.429,2467.546
HAM,Two-stop S-M-H,28,2,Medium,13,0,90.441,2557.987
HAM,Two-stop S-M-H,29,2,Medium,14,0,90.453,2648.44
HAM,Two-stop S-M-H,30,2,Medium,15,0,90.465,2738.905
HAM,Two-stop S-M-H,31,2,Medium,16,0,90.477,2829.382
HAM,Two-stop S-M-H,32,2,Medium,17,0,90.489,2919.871
HAM,Two-stop S-M-H,33,2,Medium,18,0,90.501,3010.372
HAM,Two-stop S-M-H,34,2,Medium,19,0,90.513,3100.885
HAM,Two-stop S-M-H,35,2,Medium,20,0,90.525,3191.41
HAM,Two-stop S-M-H,36,2,Medium,21,0,90.537,3281.947
HAM,Two-stop S-M-H,37,3,Hard,1,1,111.824,3393.771
HAM,Two-stop S-M-H,38,3,Hard,2,0,89.816,3483.587
HAM,Two-stop S-M-H,39,3,Hard,3,0,89.808,3573.395
HAM,Two-stop S-M-H,40,3,Hard,4,0,89.8,3663.195
HAM,Two-stop S-M-H,41,3,Hard,5,0,89.792,3752.987
HAM,Two-stop S-M-H,42,3,Hard,6,0,89.784,3842.771
HAM,Two-stop S-M-H,43,3,Hard,7,0,89.776,3932.547
HAM,Two-stop S-M-H,44,3,Hard,8,0,89.768,4022.315
HAM,Two-stop S-M-H,45,3,Hard,9,0,89.76,4112.075
HAM,Two-stop S-M-H,46,3,Hard,10,0,89.752,4201.827
HAM,Two-stop S-M-H,47,3,Hard,11,0,89.744,4291.571
HAM,Two-stop S-M-H,48,3,Hard,12,0,89.736,4381.307
HAM,Two-stop S-M-H,49,3,Hard,13,0,89.728,4471.035
HAM,Two-stop S-M-H,50,3,Hard,14,0,89.72,4560.755
HAM,Two-stop S-M-H,51,3,Hard,15,0,89.712,4650.467
HAM,Two-stop S-M-H,52,3,Hard,16,0,89.704,4740.171
HAM,Two-stop S-M-H,53,3,Hard,17,0,89.696,4829.867
HAM,Two-stop S-M-H,54,3,Hard,18,0,89.688,4919.555
HAM,Two-stop S-M-H,55,3,Hard,19,0,89.68,5009.235
HAM,Two-stop S-M-H,56,3,Hard,20,0,89.672,5098.907
HAM,Two-stop S-M-H,57,3,Hard,21,0,89.664,5188.571
HAM,Two-stop S-M-H,58,3,Hard,22,0,89.656,5278.227
